1,Crossfire SE,TSL3 GSL Crossfire SE,TeamLiquid,cse.jpg
2,Xel'Naga Caverns,TSL3 Xel'Naga Caverns,TSLAdmin,xnc.jpg
3,Crevasse,TSL3 GSL Crevasse,TeamLiquid,cre.jpg
4,Tal'Darim Altar,TSL3 GSL Tal'Darim Altar,TeamLiquid,tda.jpg
5,Terminus RE,TSL3 GSL Terminus RE,TeamLiquid,tre.jpg
6,Metalopolis,TSL3 Metalopolis,TSLAdmin,met.jpg
7,Shakuras Plateau,Shakuras Plateau,Blizzard,shp.jpg
8,Valhalla,iCCup Valhalla,prodiG,val.jpg
9,The Starparty V,iCCup The Starparty V,SUPEROUMAN,tsv.jpg
10,Bel'Shir Beach,GSL_Bel'Shir Beach,GOMTV,bsb.jpg
11,Crevasse,TSL3 GSL Crevasse,TeamLiquid,cre.jpg
12,Crossfire SE,TSL3 GSL Crossfire SE,TeamLiquid,cse.jpg
13,Dual Sight,GSL_Dual Sight,GOMTV,ds.jpg
14,Metaloplis,TSL3 Metalopolis,TSLAdmin,met.jpg
15,Tal'darim Altar LE,Tal'darim Altar LE,Blizzard,tdale.jpg
16,Terminus SE,GSL_Terminus SE,GOMTV,tse.jpg
17,Xel'Naga Caverns,TSL3 Xel'Naga Caverns,TSLAdmin,xnc.jpg
18,Xel'Naga Fortress,GSL Xel'Naga Fortress (Official),MildCocoA,xnf.jpg
